ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover â¹  ","No. of Trades  "
"SBIN","EQ","03-Jun-2024","830.35","863.55","912.00","856.75","909.05","905.65","890.20","6,42,69,020","57,21,23,26,883.50","12,42,769"
"SBIN","EQ","04-Jun-2024","905.65","897.00","897.00","731.95","784.60","775.20","803.85","12,23,81,193","98,37,57,60,977.65","19,04,773"
"SBIN","EQ","05-Jun-2024","775.20","790.75","795.00","744.05","787.55","789.75","771.20","7,42,56,082","57,26,65,40,264.65","11,47,451"
"SBIN","EQ","06-Jun-2024","789.75","800.00","833.35","796.00","817.00","816.95","818.98","4,05,55,649","33,21,41,56,708.95","6,11,412"
"SBIN","EQ","07-Jun-2024","816.95","819.90","831.50","810.50","829.25","829.95","823.33","2,50,61,284","20,63,38,08,796.00","3,46,989"
"SBIN","EQ","10-Jun-2024","829.95","834.15","845.45","829.20","830.80","831.80","837.18","1,67,25,508","14,00,22,92,421.20","2,83,108"
"SBIN","EQ","11-Jun-2024","831.80","836.00","839.60","829.05","835.50","835.55","835.28","1,47,54,408","12,32,40,05,252.55","2,23,238"
"SBIN","EQ","12-Jun-2024","835.55","837.00","845.55","833.00","838.85","839.10","840.25","1,50,71,442","12,66,38,19,955.65","2,47,749"
"SBIN","EQ","13-Jun-2024","839.10","845.00","845.90","836.10","844.95","843.90","842.29","1,25,23,972","10,54,88,43,617.45","1,85,661"
"SBIN","EQ","14-Jun-2024","843.90","845.00","849.90","835.10","839.20","839.20","841.90","1,29,03,496","10,86,34,38,124.70","2,06,549"
"SBIN","EQ","18-Jun-2024","839.20","841.55","851.50","840.25","845.30","844.90","847.17","1,49,29,083","12,64,75,06,030.85","2,41,973"
"SBIN","EQ","19-Jun-2024","844.90","846.80","860.60","841.00","854.30","852.60","850.68","3,29,25,140","28,00,86,46,934.95","3,94,742"
"SBIN","EQ","20-Jun-2024","852.60","853.00","853.10","842.35","844.90","843.75","846.89","1,39,85,352","11,84,41,05,365.70","2,14,049"
"SBIN","EQ","21-Jun-2024","843.75","844.90","848.05","828.60","834.45","836.30","837.22","1,89,90,090","15,89,88,75,069.30","3,05,592"
"SBIN","EQ","24-Jun-2024","836.30","831.50","836.00","821.05","833.50","832.70","829.99","1,27,15,254","10,55,35,68,351.95","2,29,601"
"SBIN","EQ","25-Jun-2024","832.70","837.00","845.85","834.30","841.95","842.25","841.30","2,09,17,530","17,59,78,95,341.85","2,78,788"
"SBIN","EQ","26-Jun-2024","842.25","839.85","848.80","836.00","844.25","845.35","843.76","1,62,81,760","13,73,78,68,669.05","2,36,219"
"SBIN","EQ","27-Jun-2024","845.35","843.90","847.40","838.25","845.00","844.00","843.39","2,03,78,887","17,18,74,12,738.55","3,20,327"
"SBIN","EQ","28-Jun-2024","844.00","846.90","864.00","844.00","848.80","848.95","855.04","2,36,36,388","20,21,01,23,469.85","3,23,370"
"SBIN","EQ","01-Jul-2024","848.95","849.35","850.50","839.95","842.80","841.95","843.77","1,09,67,797","9,25,42,44,639.05","2,00,173"
"SBIN","EQ","02-Jul-2024","841.95","844.00","846.30","823.15","827.60","826.15","832.38","2,11,42,840","17,59,88,99,832.20","4,06,548"
"SBIN","EQ","03-Jul-2024","826.15","829.00","843.85","825.00","841.05","839.95","834.97","2,35,98,009","19,70,35,18,122.60","2,63,776"